,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,anual_PP
2000,158.9,66.6,71.2,180.2,361.7,144.8,46.9,66.5,136.6,149.8,148.2,91.9,135.275
2001,337.5,120.6,314.5,48.1,99.9,81.3,115.1,167.6,52.6,261.7,163,56.2,151.508333333333
2002,102.4,60.2,274.6,173.4,217,37.5,82.2,122.3,90.7,109.7,115.6,203.3,132.408333333333
2003,183.1,403.3,87.7,75.5,67.5,54.4,46.2,28.2,107,65,230,158.8,125.558333333333
2004,268.4,31.8,28.1,228.5,99.1,20.1,62.6,60.3,22.8,68.7,95.8,118.1,92.025
2005,150.2,80.1,155.4,145.2,11.6,91.7,57.7,195.2,54.4,36.2,67.5,34.4,89.9666666666667
2006,250.7,220.6,154.3,68.5,5,75.1,11.1,4.7,28.7,163.1,54.7,194.3,102.566666666667
Prom2000_06,207.314285714286,140.457142857143,155.114285714286,131.342857142857,123.114285714286,72.1285714285714,60.2571428571429,92.1142857142857,70.4,122.028571428571,124.971428571429,122.428571428571,118.472619047619
