,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,anual_T
2000,25.8,24.7,22,18.6,14.4,13.2,11.6,12.4,14.5,17.6,19.4,23.5,18.1416666666667
2001,25.4,25.6,23.1,18.5,14.2,13.1,11.4,15.7,14.9,18.1,20.2,23,18.6
2002,24.6,23.3,22,17.3,16.6,10.9,11.1,14.4,14.9,19.5,21.5,22.8,18.2416666666667
2003,25.4,23.5,22.5,17.6,15.3,12.9,12.2,12,14.5,19,20.4,21.8,18.0916666666667
2004,25.1,23.2,23.6,20,13.4,13.5,12.6,13.8,16.1,17.5,19.7,23.4,18.4916666666667
2005,25.8,24.2,21.4,17.1,14.8,14.1,14.3,13,14.1,17.1,22.5,22.3,18.3916666666667
2006,24.7,24.1,20.6,19,13.9,13.1,9.3,12.4,15.6,19.7,20.5,24.8,18.1416666666667
Prom2000_06,25.2571428571429,24.0857142857143,22.1714285714286,18.3,14.6571428571429,12.9714285714286,11.7857142857143,13.3857142857143,14.9428571428571,18.3571428571429,20.6,23.0857142857143,18.3
